Px Code,Supply #,Description,Unit Price
272000379,8197,BLA MNPLR FRC 10,185.64
272000379,8265,DRL BIT SYN CANN SS QC 1.5X96,656.04
272000379,8279,BLA SHVR XPS CVD TP 4X15,1531.35
272000379,8288,BUR XPS HISPD FLUT 5X15,1531.35
272000379,8351,DRL BIT CMP SS 3.2.,669.9
272000379,8368,DRL BIT LCP CANN SS QC 3.2X170,1714.25
272000379,8392,AGENT OPHTH 0.85ML 10.4%  SODI,198
272000379,8418,SHTH TNLR ONQ 11GAX12,168.06
272000379,8449,TNLR SUBQ NRV STM,2121.12
272000379,8461,DRL BIT VRX SS SM 27X1.9,356.4
272000379,8494,DRL BIT SS 1.5X12,549.12
272000379,8511,CPLNG EXT FX SS HFF 5.75,1358
272000379,8525,DRL BIT SYN SS QC 1X6,549.12
272000379,8575,TUBE J FEED MIC 18FR,753.28
272000379,8646,SUT CPIO 0 T 26 48IN,246.96
272000379,8662,DRL BIT SYN SS QC 2.4X100,549.12
272000379,8712,DRL BIT QC J LTCH 1X44.5,549.12
272000379,8808,DRL BIT SYN CANN SS QC 4.5X170,1714.25
272000379,8841,DRL BIT SYN CANN SS QC 2.7X160,1744.9
272000379,8897,CATH ERCP BLT TP 5.5FX200,241.5
272000379,8898,CANN TND 5.5FX1.8200,346.92
272000379,8902,SET TRANSFER DIALYSIS,236.34
272000379,8942,PRBE 2.3X300,1249.75
272000379,8971,DRL BIT QC FLUT 2.7X125.,506.11
272000379,9007,DRL BIT QC NSTRL 1.3 1X44.5,549.12
272000379,9047,CNTRSNK SCRDRV CORT 2.7,754.16
272000379,9059,DISSCT ENDPT LAPSC BLNT ROT 5,9.29
272000379,9105,GRSPR OTS ENDO COLN 220,2785.5
272000379,9118,DRL BIT SYN CANN SS QC 300X5,1724.45
272000379,9153,DRL BIT SYN SS QC 1.8X100,549.12
272000379,9243,CATH DUPLO MIS 0.17X35,274.74
