Px Code,Supply #,Description,Unit Price
272000379,3883,CAU ELCTRD BLL 24FX5,617.93
272000379,3923,DRL BIT SYN SS QC 2.7X100,347.58
272000379,3966,DRL BIT SS QC 3.5X110,368.1
272000379,3970,SHTH DRYSL FLX 14FX33,1265
272000379,3973,DRL BIT SYN SS QC 1.1X60,347.58
272000379,3994,FCP SCREW HOLDING,358.74
272000379,4099,PROX SEAL HEARTSTRING III 4.3,2137.5
272000379,4108,DRL BIT DVR SS 2.5,450.73
272000379,4116,DRL BIT SYN SS QC 3.5X195,388.5
272000379,4133,SHTH DRYSL FLX 24FX33,1520
272000379,4156,SHTH DRYSL FLX 22FX33,1680
272000379,4158,SHTH DRYSL FLX 18FX33,1520
272000379,4163,DRL BIT SYN SS QC 2.5X180,388.5
272000379,4187,EXT BULLDOG LEAD 70,1140
272000379,4197,TB TRACH PVC SHILEY 6X11X95,359.46
272000379,4230,DRL BIT QC NSTRL 4.5X195,509.85
272000379,4238,PUNCH BARRON 7.5,396
272000379,4307,DRL BIT SS QC SM 2X125,388.5
272000379,4321,DRL BIT QC FLUT 4.5X195,592.3
272000379,4330,CNTRSNK SCRDRV CANN 3.5-4,754.16
272000379,4352,TRAY THORACENTESIS 8FRX18GAX4,238.74
272000379,4414,DRL BIT SYN SS QC 3X190,884.84
272000379,4443,SZR BRST SIL MX NTR 410,440
272000379,4445,CATH VENTRICULAR 35,495
272000379,4496,GW NL DRL TP THRD 200X2.5,312.84
272000379,4500,SUT FBRWR 2-0 BRD BLK WHT 38,210
272000379,4516,PLIERS PLT BENDING 1.0-2.0,3207.6
272000379,4527,DRL BIT SYN SS 3X16,917.02
272000379,4539,BUR MDS DISCT BLL 0.08X25.4,427.68
272000379,4550,STPL ENDO GIA MD THCK CRV 45X2,1016.05
272000379,4600,PK CELL SAVER FSTPCK 225,550
272000379,4624,SPNG HMST SRG OXD FLX 2X14,396.66
272000379,4632,BUR MDS RND BLL 14X5,399.96
272000379,4641,STPL GIA VASC ENDO 2X2.5X3,927.47
272000379,4671,SUT VLC 0 GS 21 9IN,21.48
272000379,4682,MAT HOVERMAT HALF,375
272000379,4887,CATH BDX LUB FL 20FX5CC,192.9
272000379,4897,BUR MIDAS METAL CUTTER 9X1.6,475.53
272000379,4963,ST BIOP BRSH CYTO 3.2FX115,440
272000379,5002,BLA TYMPANOPLASTY STR 2.5,155.58
272000379,5053,SYR INF VRTBRL AUG DIGITAL,747.18
272000379,5188,BAR EXT FX SS 4X160,164.4
272000379,5197,DRL BIT SYN TI QC 0.76X8,637.29
272000379,5262,DRL BIT STR SS 3.6X125,551.54
272000379,5386,BAR EXT FX SS 4X200,164.4
272000379,5392,BAR EXT FX SS 4X180,164.4
272000379,5452,SUT PSR STR MCR 1.25,770
272000379,5466,DRL BIT SYN SS QC 1.3MX55,347.58
272000379,5472,OVRTB GRD ENDO INSF 8.6-10X25,825
272000379,5475,SNR RTH ENDO SP RET 2.5X1.5,495
272000379,5604,EVAC URV UROL W/ADPT 14F,164.46
272000379,5692,RMR NXG 29,1056
272000379,5720,DRL BIT SYN SS QC 1.5X65,347.58
272000379,5731,DRL BIT SS QC 2.4X80,347.58
272000379,5736,CLIP APPLIER ROTATING 10,861.3
272000379,5776,DRL BIT LCP CANN SS QC 200X5,1376.8
272000379,5777,DRL BIT AXS SS 4.3X296,759
272000379,5840,EXTRACTOR CONI FEMALE 3.0MM,1189.5
272000379,5847,EXTRACTOR CONI FEMALE 4.0MM,1189.5
272000379,5890,DRL BIT SS QC LCP 2X65,347.58
272000379,5899,DRILL CROWN 8.0MM,1965.6
272000379,5905,DV S/SI  SCISS MNPLR CVD 8,1600
272000379,5917,DRL BIT TRM SS STRL 3.5,434.5
272000379,5924,DRL BIT ART SS 3,632.5
272000379,5949,DRL BIT QC LCP 1.1X55,347.58
272000379,5951,DRL BIT QC FLUT 3.2X195,592.3
272000379,5958,EXTRACTOR CONI MALE 4.0MM,1365
272000379,5961,DRL BIT ART CANN SS 2.6,962.5
272000379,6010,DRL BIT ZMM SS 12.7X6.4,272.16
272000379,6012,STPL CNTR RLD CRV GRN 40X4.7,1265.5
272000379,6058,EXTRACTOR CONI MALE 2.5MM,1434
272000379,6067,DRL BIT TMX SS 2.7,665.5
272000379,6075,DRILL CROWN 4.0MM,2166.75
272000379,6094,CLMP EXT FX CMBO MRI LG,2192.85
272000379,6097,TAP BN CANN SS QC 4X147,1995.9
272000379,6126,DRILL CROWN 5.0MM,2188.35
272000379,6130,EXTRACTOR CONI MALE SM,1402.5
272000379,6134,EXTRACTOR CONI MALE 3.5MM,1365
272000379,6145,DRILL CROWN 3.0MM,2166.75
272000379,6189,TAP BN SS QC 2.7,665.5
272000379,6214,DRILL CROWN 12.0MM,1971
272000379,6215,DRILL CROWN 10.0MM,1965.6
272000379,6219,EXTRACTOR CONI MALE 5.0MM,1365
272000379,6229,EXTRACTOR CONI FEMALE 6.3MM,1189.5
272000379,6233,DRL BIT SYN SS QC 1.0X50,347.58
272000379,6238,DRILL CROWN 6.5MM,2188.35
272000379,6263,CLMP EXT FX OPN ADJ LG,1805.72
272000379,6280,CLMP EXT FX 6 PSTN PIN LG,2492.51
272000379,6282,DRL BIT QC MDLR 0.76X6,637.29
